players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
1889,63,Daniel Vega,Goalkeeper,35,Argentina,1.89,right,2019-01-18,Tampa Bay Rowdies,-,0.35,https://www.transfermarkt.com/daniel-vega/profil/spieler/82507
1890,63,JT Marcinkowski,Goalkeeper,22,United States,1.85,-,2017-12-06,Georgetown Hoyas (Georgetown University),-,0.35,https://www.transfermarkt.com/jt-marcinkowski/profil/spieler/336163
1891,63,Matt Bersano,Goalkeeper,27,United States,1.85,-,2017-03-13,Without Club,31.12.2020,0.22,https://www.transfermarkt.com/matt-bersano/profil/spieler/429255
1892,63,Emmanuel Ochoa,Goalkeeper,15,Mexico,1.88,left,2019-11-11,San Jose Earthquakes Academy,31.12.2020,0.0,https://www.transfermarkt.com/emmanuel-ochoa/profil/spieler/723386
1893,63,Oswaldo Alanís,Centre-Back,31,Mexico,1.83,left,2020-01-28,Deportivo Guadalajara,31.12.2021,1.51,https://www.transfermarkt.com/oswaldo-alanis/profil/spieler/106282
1894,63,Florian Jungwirth,Centre-Back,31,Germany,1.81,right,2017-02-02,SV Darmstadt 98,-,0.86,https://www.transfermarkt.com/florian-jungwirth/profil/spieler/33078
1895,63,Guram Kashia,Centre-Back,32,Georgia,1.85,right,2018-07-10,Vitesse Arnhem,-,0.73,https://www.transfermarkt.com/guram-kashia/profil/spieler/55972
1896,63,Tanner Beason,Centre-Back,23,United States,1.85,-,2020-01-09,Stanford Cardinal (Stanford University),-,0.05,https://www.transfermarkt.com/tanner-beason/profil/spieler/635660
1897,63,Casey Walls,Centre-Back,16,United States,m,left,2019-11-05,San Jose Earthquakes Academy,-,0.05,https://www.transfermarkt.com/casey-walls/profil/spieler/724440
1898,63,Marcos López,Left-Back,20,Peru,1.75,left,2019-01-06,Sporting Cristal Lima,30.06.2023,0.38,https://www.transfermarkt.com/marcos-lopez/profil/spieler/432175
1899,63,Nick Lima,Right-Back,25,United States,1.73,-,2016-12-21,California Golden Bears (UC Berkeley),-,0.86,https://www.transfermarkt.com/nick-lima/profil/spieler/478802
1900,63,Tommy Thompson,Right-Back,24,United States,1.71,right,2014-01-17,Indiana Hoosiers (Indiana University),-,0.7,https://www.transfermarkt.com/tommy-thompson/profil/spieler/308005
1901,63,Paul Marie,Right-Back,25,France,1.72,right,2018-01-19,FIU Panthers (Florida International University),31.12.2020,0.22,https://www.transfermarkt.com/paul-marie/profil/spieler/182907
1902,63,Jacob Akanyirige,Right-Back,18,United States,1.8,-,2017-12-15,San Jose Earthquakes Academy,-,0.11,https://www.transfermarkt.com/jacob-akanyirige/profil/spieler/557061
1903,63,Judson,Defensive Midfield,26,Brazil,1.69,right,2020-01-01,Tombense Futebol Clube (MG),-,0.7,https://www.transfermarkt.com/judson/profil/spieler/349744
1904,63,Luis Felipe,Defensive Midfield,24,United States,1.86,-,2017-12-14,Reno 1868 FC,-,0.22,https://www.transfermarkt.com/luis-felipe/profil/spieler/423441
1905,63,Jackson Yueill,Central Midfield,23,United States,1.77,-,2017-01-13,UCLA Bruins (Univ. of California Los Angeles),31.12.2020,1.03,https://www.transfermarkt.com/jackson-yueill/profil/spieler/349707
1906,63,Eric Calvillo,Central Midfield,22,United States,1.7,-,2018-01-20,New York Cosmos,31.12.2020,0.16,https://www.transfermarkt.com/eric-calvillo/profil/spieler/315759
1907,63,Jack Skahan,Central Midfield,22,United States,1.78,-,2020-01-09,North Carolina Tar Heels (University of NC),-,0.05,https://www.transfermarkt.com/jack-skahan/profil/spieler/637225
1908,63,Gilbert Fuentes,Attacking Midfield,18,United States,1.62,-,2018-01-26,San Jose Earthquakes Academy,31.12.2020,0.11,https://www.transfermarkt.com/gilbert-fuentes/profil/spieler/504206
1909,63,Valeri Qazaishvili,Left Winger,27,Georgia,1.74,right,2017-07-10,Vitesse Arnhem,-,1.3,https://www.transfermarkt.com/valeri-qazaishvili/profil/spieler/156115
1910,63,Carlos Fierro,Left Winger,25,Mexico,1.75,right,2019-07-09,CD Cruz Azul,-,1.03,https://www.transfermarkt.com/carlos-fierro/profil/spieler/185365
1911,63,Shea Salinas,Left Winger,33,United States,1.78,right,2011-11-30,Vancouver Whitecaps FC,-,0.35,https://www.transfermarkt.com/shea-salinas/profil/spieler/80670
1912,63,Cristian Espinoza,Right Winger,25,Argentina,1.73,right,2020-01-01,Villarreal CF,-,1.3,https://www.transfermarkt.com/cristian-espinoza/profil/spieler/278992
1913,63,Magnus Eriksson,Right Winger,30,Sweden,1.79,left,2018-01-01,Djurgardens IF,-,1.03,https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
1914,63,Siad Haji,Right Winger,20,United States,1.73,-,2019-01-11,VCU Rams (Virginia Commonwealth University),-,0.14,https://www.transfermarkt.com/siad-haji/profil/spieler/644779
1915,63,Danny Hoesen,Centre-Forward,29,Netherlands,1.86,right,2018-01-01,FC Groningen,-,0.86,https://www.transfermarkt.com/danny-hoesen/profil/spieler/81163
1916,63,Andrés Ríos,Centre-Forward,30,Argentina,1.79,right,2019-07-30,Racing Club,-,0.7,https://www.transfermarkt.com/andres-rios/profil/spieler/59310
1917,63,Chris Wondolowski,Centre-Forward,37,United States,1.85,right,2009-06-09,Houston Dynamo,31.12.2020,0.35,https://www.transfermarkt.com/chris-wondolowski/profil/spieler/39856
1918,63,Cade Cowell,Centre-Forward,16,United States,1.75,right,2019-01-23,San Jose Earthquakes Academy,-,0.16,https://www.transfermarkt.com/cade-cowell/profil/spieler/647235
