players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
172,6,Marcelo Lomba,Goalkeeper,33,Brazil,1.88,right,2016-07-15,Esporte Clube Bahia,31.12.2021,1.51,https://www.transfermarkt.com/marcelo-lomba/profil/spieler/53015
173,6,Danilo Fernandes,Goalkeeper,32,Brazil,1.89,right,2016-05-12,Sport Club do Recife,31.12.2021,0.86,https://www.transfermarkt.com/danilo-fernandes/profil/spieler/99439
174,6,Keiller,Goalkeeper,23,Brazil,1.93,-,-,-,31.12.2022,0.05,https://www.transfermarkt.com/keiller/profil/spieler/417084
175,6,Daniel,Goalkeeper,25,Brazil,1.88,-,2017-01-01,Sport Club Internacional B,31.12.2021,0.05,https://www.transfermarkt.com/daniel/profil/spieler/530421
176,6,Víctor Cuesta,Centre-Back,31,Argentina,1.87,left,2017-03-02,Club Atlético Independiente,30.06.2022,3.46,https://www.transfermarkt.com/victor-cuesta/profil/spieler/104326
177,6,Bruno Fuchs,Centre-Back,21,Brazil,1.91,right,2019-01-02,Sport Club Internacional U20,31.12.2023,1.94,https://www.transfermarkt.com/bruno-fuchs/profil/spieler/563692
178,6,Rodrigo Moledo,Centre-Back,32,Brazil,1.88,right,2018-02-06,Panathinaikos Athens,31.12.2022,1.62,https://www.transfermarkt.com/rodrigo-moledo/profil/spieler/119434
179,6,Pedro Henrique,Centre-Back,19,Brazil,m,-,-,-,-,0.73,https://www.transfermarkt.com/pedro-henrique/profil/spieler/681693
180,6,Roberto,Centre-Back,21,Brazil,1.88,right,2019-01-02,Sport Club Internacional U20,31.12.2022,0.57,https://www.transfermarkt.com/roberto/profil/spieler/641457
181,6,Natanael,Left-Back,29,Brazil,1.68,left,2019-07-02,PFK Ludogorets Razgrad,31.12.2022,2.59,https://www.transfermarkt.com/natanael/profil/spieler/322588
182,6,Uendel,Left-Back,31,Brazil,1.79,left,2017-01-11,Sport Club Corinthians Paulista,31.12.2020,1.19,https://www.transfermarkt.com/uendel/profil/spieler/74747
183,6,Moisés,Left-Back,25,Brazil,1.81,left,2020-01-15,Esporte Clube Bahia,31.12.2021,0.81,https://www.transfermarkt.com/moises/profil/spieler/368468
184,6,Erik,Left-Back,19,Brazil,1.72,left,2019-07-01,Sport Club Internacional U20,31.12.2022,0.05,https://www.transfermarkt.com/erik/profil/spieler/680551
185,6,Heitor,Right-Back,19,Brazil,1.74,right,2019-07-01,Sport Club Internacional U20,31.12.2022,3.89,https://www.transfermarkt.com/heitor/profil/spieler/670969
186,6,Renzo Saravia,Right-Back,26,Argentina,1.76,right,2020-02-28,FC Porto,31.12.2020,3.46,https://www.transfermarkt.com/renzo-saravia/profil/spieler/268642
187,6,Rodinei,Right-Back,28,Brazil,1.75,right,2020-01-01,Clube de Regatas do Flamengo,31.12.2020,1.4,https://www.transfermarkt.com/rodinei/profil/spieler/185966
