players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
34,2,Wéverton,Goalkeeper,32,Brazil,1.89,right,2018-01-01,Atlético Paranaense,31.12.2024,3.78,https://www.transfermarkt.com/weverton/profil/spieler/69400
35,2,Jaílson,Goalkeeper,38,Brazil,1.86,right,2014-10-02,Ceará Sporting Club,31.12.2020,0.27,https://www.transfermarkt.com/jailson/profil/spieler/112940
36,2,Vinicius Silvestre,Goalkeeper,26,Brazil,1.95,right,2013-07-01,SE Palmeiras B,31.12.2021,0.11,https://www.transfermarkt.com/vinicius-silvestre/profil/spieler/286772
37,2,Vitor Hugo,Centre-Back,28,Brazil,1.87,left,2019-07-29,ACF Fiorentina,30.06.2024,5.18,https://www.transfermarkt.com/vitor-hugo/profil/spieler/149752
38,2,Gustavo Gómez,Centre-Back,26,Paraguay,1.85,right,2020-01-01,AC Milan,30.06.2020,3.78,https://www.transfermarkt.com/gustavo-gomez/profil/spieler/215390
39,2,Luan,Centre-Back,26,Brazil,1.86,right,2017-04-05,Club de Regatas Vasco da Gama,31.03.2023,1.73,https://www.transfermarkt.com/luan/profil/spieler/178984
40,2,Emerson Santos,Centre-Back,25,Brazil,1.84,right,2018-01-01,Botafogo Rio de Janeiro,31.12.2022,0.86,https://www.transfermarkt.com/emerson-santos/profil/spieler/382171
41,2,Diogo Barbosa,Left-Back,27,Brazil,1.79,left,2018-01-01,Coimbra Esporte Clube Ltda (MG),25.12.2022,3.78,https://www.transfermarkt.com/diogo-barbosa/profil/spieler/167724
42,2,Matías Viña,Left-Back,22,Uruguay,1.8,left,2020-01-31,Club Nacional,31.12.2024,2.16,https://www.transfermarkt.com/matias-vina/profil/spieler/439072
43,2,Victor Luis,Left-Back,26,Brazil,1.8,left,2013-07-01,SE Palmeiras B,31.12.2022,1.4,https://www.transfermarkt.com/victor-luis/profil/spieler/234538
44,2,Lucas Esteves,Left-Back,19,Brazil,1.71,left,2020-01-01,SE Palmeiras B,31.12.2024,0.05,https://www.transfermarkt.com/lucas-esteves/profil/spieler/688668
45,2,Marcos Rocha,Right-Back,31,Brazil,1.76,right,2019-01-10,Clube Atlético Mineiro,31.12.2022,2.16,https://www.transfermarkt.com/marcos-rocha/profil/spieler/75435
46,2,Mayke,Right-Back,27,Brazil,1.78,right,2019-01-01,Cruzeiro Esporte Clube,31.12.2023,1.4,https://www.transfermarkt.com/mayke/profil/spieler/147361
47,2,Gabriel Menino,Defensive Midfield,19,Brazil,1.76,right,2020-01-01,SE Palmeiras B,31.12.2024,3.89,https://www.transfermarkt.com/gabriel-menino/profil/spieler/608216
