players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2053,69,Stefan Cleveland,Goalkeeper,25,United States,1.88,-,2020-03-06,Seattle Sounders FC,30.11.2020,0.22,https://www.transfermarkt.com/stefan-cleveland/profil/spieler/482647
2054,69,Trey Muse,Goalkeeper,20,United States,1.93,-,2020-03-06,Seattle Sounders FC,30.11.2020,0.14,https://www.transfermarkt.com/trey-muse/profil/spieler/497575
2055,69,Conrad Lee,Goalkeeper,17,United States,1.93,-,2020-03-06,Sounders FC Academy,-,0.03,https://www.transfermarkt.com/conrad-lee/profil/spieler/583662
2056,69,Jamie Lowell,Goalkeeper,18,United States,1.96,-,2020-03-06,Sounders FC Academy,-,0.0,https://www.transfermarkt.com/jamie-lowell/profil/spieler/698125
2057,69,Leo Burney,Defender,18,United States,1.88,-,2020-03-06,Sounders FC Academy,-,0.0,https://www.transfermarkt.com/leo-burney/profil/spieler/612121
2058,69,Abdoulaye Cissoko,Defender,20,France,1.91,-,2019-09-09,San Diego Zest FC,30.11.2020,0.0,https://www.transfermarkt.com/abdoulaye-cissoko/profil/spieler/705864
2059,69,Taylor Mueller,Centre-Back,31,United States,1.88,-,2019-12-18,Charleston Battery,30.11.2020,0.32,https://www.transfermarkt.com/taylor-mueller/profil/spieler/218156
2060,69,Samuel Rogers,Centre-Back,20,United States,1.91,-,2017-06-13,Sounders FC Academy,30.11.2020,0.19,https://www.transfermarkt.com/samuel-rogers/profil/spieler/497574
2061,69,Antino Lopez,Centre-Back,17,United States,m,-,2020-03-06,Sounders FC Academy,-,0.0,https://www.transfermarkt.com/antino-lopez/profil/spieler/627212
2062,69,Eric Kinzner,Centre-Back,17,United States,1.85,left,2020-03-06,Sounders FC Academy,30.11.2020,0.0,https://www.transfermarkt.com/eric-kinzner/profil/spieler/749769
2063,69,Nick Hinds,Left-Back,22,United States,1.73,-,2018-01-22,Akron Zips (University of Akron),30.11.2020,0.16,https://www.transfermarkt.com/nick-hinds/profil/spieler/429257
2064,69,Danny Reynolds,Left-Back,22,England,1.75,left,2020-02-07,Seattle Sounders FC,30.11.2020,0.0,https://www.transfermarkt.com/danny-reynolds/profil/spieler/351501
2065,69,Antonee Burke-Gilroy,Right-Back,22,Australia,1.78,-,2018-05-01,Newcastle United Jets U21,30.11.2020,0.16,https://www.transfermarkt.com/antonee-burke-gilroy/profil/spieler/583641
2066,69,Bryson Hankins,Right-Back,17,United States,1.75,-,2020-03-06,Sounders FC Academy,-,0.0,https://www.transfermarkt.com/bryson-hankins/profil/spieler/719326
