players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
1462,47,Stefan Frei,Goalkeeper,34,United States,1.95,-,2013-12-10,Toronto FC,-,0.86,https://www.transfermarkt.com/stefan-frei/profil/spieler/99617
1463,47,Stefan Cleveland,Goalkeeper,25,United States,1.88,-,2019-11-26,Chicago Fire FC,30.11.2020,0.22,https://www.transfermarkt.com/stefan-cleveland/profil/spieler/482647
1464,47,Yeimar Gómez Andrade,Centre-Back,27,Colombia,1.88,right,2020-02-05,Club Atlético Unión,31.12.2022,3.02,https://www.transfermarkt.com/yeimar-gomez-andrade/profil/spieler/343359
1465,47,Xavier Arreaga,Centre-Back,25,Ecuador,1.83,-,2019-05-07,Barcelona SC Guayaquil,31.12.2021,0.78,https://www.transfermarkt.com/xavier-arreaga/profil/spieler/323854
1466,47,Shane O'Neill,Centre-Back,26,United States,1.88,right,2020-01-14,Orlando City SC,-,0.32,https://www.transfermarkt.com/shane-oneill/profil/spieler/229912
1467,47,Nouhou Tolo,Left-Back,22,Cameroon,1.78,-,2017-01-26,Seattle Sounders FC 2,-,0.51,https://www.transfermarkt.com/nouhou-tolo/profil/spieler/436332
1468,47,Kelvin Leerdam,Right-Back,29,Suriname,1.78,right,2017-07-10,Vitesse Arnhem,-,0.86,https://www.transfermarkt.com/kelvin-leerdam/profil/spieler/92936
1469,47,Gustav Svensson,Defensive Midfield,33,Sweden,1.84,right,2017-01-30,Guangzhou R&F,31.12.2020,0.65,https://www.transfermarkt.com/gustav-svensson/profil/spieler/41362
1470,47,Jordy Delem,Defensive Midfield,27,Martinique,1.8,right,2017-03-02,Seattle Sounders FC 2,31.12.2020,0.51,https://www.transfermarkt.com/jordy-delem/profil/spieler/269944
1471,47,Danny Leyva,Defensive Midfield,17,United States,1.78,-,2019-04-09,Tacoma Defiance,30.11.2020,0.43,https://www.transfermarkt.com/danny-leyva/profil/spieler/623444
1472,47,Cristian Roldán,Central Midfield,24,United States,1.73,-,2015-01-15,Washington Huskies (University of Washington),-,3.46,https://www.transfermarkt.com/cristian-roldan/profil/spieler/354792
1473,47,Miguel Ibarra,Right Midfield,30,United States,1.73,-,2020-02-20,Minnesota United FC,-,0.73,https://www.transfermarkt.com/miguel-ibarra/profil/spieler/220521
1474,47,Joevin Jones,Left Midfield,28,Trinidad and Tobago,1.8,left,2019-05-07,SV Darmstadt 98,-,0.86,https://www.transfermarkt.com/joevin-jones/profil/spieler/154194
1475,47,Nicolás Lodeiro,Attacking Midfield,31,Uruguay,1.69,left,2016-07-27,Club Atlético Boca Juniors,31.12.2021,3.78,https://www.transfermarkt.com/nicolas-lodeiro/profil/spieler/72653
1476,47,João Paulo,Attacking Midfield,29,Brazil,1.71,right,2020-01-31,Botafogo Rio de Janeiro,31.12.2020,0.86,https://www.transfermarkt.com/joao-paulo/profil/spieler/135984
1477,47,Harry Shipp,Left Winger,28,United States,1.75,right,2017-01-01,Montreal Impact,31.12.2020,0.51,https://www.transfermarkt.com/harry-shipp/profil/spieler/302792
1478,47,Handwalla Bwana,Left Winger,22,Kenya,1.78,-,2018-01-12,Washington Huskies (University of Washington),30.11.2020,0.38,https://www.transfermarkt.com/handwalla-bwana/profil/spieler/425824
1479,47,Alex Roldán,Right Winger,23,United States,1.78,-,2018-01-19,Seattle Redhawks (Seattle University),30.11.2020,0.38,https://www.transfermarkt.com/alex-roldan/profil/spieler/562560
1480,47,Raúl Ruidíaz,Centre-Forward,29,Peru,1.69,right,2018-07-10,Monarcas Morelia,31.12.2021,5.62,https://www.transfermarkt.com/raul-ruidiaz/profil/spieler/129724
1481,47,Jordan Morris,Centre-Forward,25,United States,1.81,right,2016-01-21,Stanford Cardinal (Stanford University),-,3.02,https://www.transfermarkt.com/jordan-morris/profil/spieler/337807
1482,47,Will Bruin,Centre-Forward,30,United States,1.85,right,2017-01-01,Houston Dynamo,30.11.2020,0.65,https://www.transfermarkt.com/will-bruin/profil/spieler/173486
1483,47,Justin Dhillon,Centre-Forward,24,United States,1.93,-,2019-06-28,Tacoma Defiance,30.11.2020,0.22,https://www.transfermarkt.com/justin-dhillon/profil/spieler/242320
