players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2826,105,Pablo Jara,Goalkeeper,26,Chile,1.82,-,2018-01-01,Wingate Bulldogs (Wingate University),30.11.2020,0.19,https://www.transfermarkt.com/pablo-jara/profil/spieler/585724
2827,105,Parker Siegfried,Goalkeeper,-,United States,m,-,-,-,-,0.0,https://www.transfermarkt.com/parker-siegfried/profil/spieler/772886
2828,105,Stephen O'Hearn,Goalkeeper,17,United States,m,-,2020-01-09,Tormenta FC Academy,30.11.2020,0.0,https://www.transfermarkt.com/stephen-ohearn/profil/spieler/735923
2829,105,Rhys Williams,Defender,24,United States,1.8,-,2020-01-14,Lansing Ignite FC,30.11.2020,0.11,https://www.transfermarkt.com/rhys-williams/profil/spieler/520186
2830,105,Grant Hampton,Defender,18,United States,m,-,2020-01-09,Tormenta FC Academy,30.11.2020,0.0,https://www.transfermarkt.com/grant-hampton/profil/spieler/735922
2831,105,Joshua Phelps,Centre-Back,27,Australia,m,-,2018-09-01,South Georgia Tormenta FC 2,30.11.2020,0.19,https://www.transfermarkt.com/joshua-phelps/profil/spieler/585726
2832,105,Jordan Skelton,Centre-Back,23,England,1.9,-,2019-08-09,South Georgia Tormenta FC 2,30.11.2020,0.14,https://www.transfermarkt.com/jordan-skelton/profil/spieler/611244
2833,105,Lars Eckenrode,Centre-Back,25,United States,1.91,-,2018-12-11,Toronto FC II,30.11.2020,0.11,https://www.transfermarkt.com/lars-eckenrode/profil/spieler/495565
2834,105,Michael O’Sullivan,Centre-Back,25,England,1.88,-,2019-01-01,Palm Beach United,30.11.2020,0.05,https://www.transfermarkt.com/michael-o-rsquo-sullivan/profil/spieler/488090
2835,105,Jad Arslan,Left-Back,23,United States,1.7,-,2018-01-01,WVU Mountaineers (West Virginia University),30.11.2020,0.14,https://www.transfermarkt.com/jad-arslan/profil/spieler/585728
2836,105,Stefan Mueller,Left-Back,24,United States,1.85,left,2020-03-03,Southport FC,-,0.0,https://www.transfermarkt.com/stefan-mueller/profil/spieler/505700
2837,105,Nil Vinyals,Midfielder,23,Spain,m,-,2019-01-01,Winthrop Eagles (Winthrop University),30.11.2020,0.16,https://www.transfermarkt.com/nil-vinyals/profil/spieler/585729
2838,105,Tristan DeLoach,Midfielder,17,United States,1.75,-,2020-01-09,Tormenta FC Academy,30.11.2020,0.05,https://www.transfermarkt.com/tristan-deloach/profil/spieler/678394
2839,105,Ricardo Gómez,Defensive Midfield,24,United States,1.7,-,2019-01-01,Myrtle Beach Mutiny,30.11.2020,0.19,https://www.transfermarkt.com/ricardo-gomez/profil/spieler/633786
2840,105,Abuchi Obinwa,Defensive Midfield,23,United States,1.81,right,2019-12-12,Without Club,-,0.08,https://www.transfermarkt.com/abuchi-obinwa/profil/spieler/333675
2841,105,Marco Micaletto,Left Midfield,24,Italy,1.78,-,2019-01-15,Akron Zips (University of Akron),30.11.2020,0.22,https://www.transfermarkt.com/marco-micaletto/profil/spieler/511763
2842,105,Devyn Jambga,Left Midfield,25,United States,1.83,-,2020-01-21,FC Tucson,30.11.2020,0.14,https://www.transfermarkt.com/devyn-jambga/profil/spieler/570450
2843,105,Lucas Coutinho,Attacking Midfield,26,Brazil,1.75,-,2019-01-01,New York Cosmos B,30.11.2020,0.11,https://www.transfermarkt.com/lucas-coutinho/profil/spieler/633789
2844,105,Pato Botello Faz,Centre-Forward,23,Mexico,1.83,-,2019-12-10,Lansing Ignite FC,30.11.2020,0.19,https://www.transfermarkt.com/pato-botello-faz/profil/spieler/656440
2845,105,Mike Rowe,Centre-Forward,23,Ireland,1.78,both,2018-01-01,Career break,30.11.2020,0.11,https://www.transfermarkt.com/mike-rowe/profil/spieler/333369
2846,105,Danny Jackson,Centre-Forward,30,United States,1.85,-,2020-01-02,Richmond Kickers,30.11.2020,0.11,https://www.transfermarkt.com/danny-jackson/profil/spieler/321311
2847,105,Luca Mayr-Fälten,Centre-Forward,24,Austria,1.76,both,2019-12-17,South Georgia Tormenta FC 2,30.11.2020,0.0,https://www.transfermarkt.com/luca-mayr-falten/profil/spieler/202415
