players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
1484,48,Tim Melia,Goalkeeper,33,United States,1.85,-,2014-08-13,CD Chivas USA,31.12.2022,0.7,https://www.transfermarkt.com/tim-melia/profil/spieler/119722
1485,48,Richard Sánchez,Goalkeeper,26,Mexico,1.91,right,2019-11-26,Chicago Fire FC,-,0.22,https://www.transfermarkt.com/richard-sanchez/profil/spieler/178861
1486,48,John Pulskamp,Goalkeeper,19,United States,1.88,-,2020-02-24,Sporting Kansas City II,31.12.2022,0.11,https://www.transfermarkt.com/john-pulskamp/profil/spieler/577858
1487,48,Winston Reid,Centre-Back,31,New Zealand,1.91,right,2020-02-14,West Ham United,30.06.2020,3.46,https://www.transfermarkt.com/winston-reid/profil/spieler/37526
1488,48,Matt Besler,Centre-Back,33,United States,1.83,left,2009-01-15,Notre Dame Fighting Irish (Uni. of Notre Dame),-,0.7,https://www.transfermarkt.com/matt-besler/profil/spieler/105975
1489,48,Andreu Fontàs,Centre-Back,30,Spain,1.86,left,2018-08-08,Celta de Vigo,31.12.2022,0.59,https://www.transfermarkt.com/andreu-fontas/profil/spieler/65237
1490,48,Roberto Puncec,Centre-Back,28,Croatia,1.87,both,2020-01-01,HNK Rijeka,31.12.2021,0.59,https://www.transfermarkt.com/roberto-puncec/profil/spieler/92120
1491,48,Botond Baráth,Centre-Back,28,Hungary,1.88,right,2019-01-01,Budapest Honvéd FC,31.12.2020,0.49,https://www.transfermarkt.com/botond-barath/profil/spieler/117280
1492,48,Graham Smith,Centre-Back,24,United States,1.9,-,2018-01-19,Denver Pioneers (University of Denver),31.12.2020,0.35,https://www.transfermarkt.com/graham-smith/profil/spieler/562557
1493,48,Luís Martins,Left-Back,27,Portugal,1.77,left,2019-08-01,GD Chaves,31.12.2021,0.35,https://www.transfermarkt.com/luis-martins/profil/spieler/187896
1494,48,Amadou Dia,Left-Back,26,United States,1.77,-,2020-01-11,Phoenix Rising FC,31.12.2020,0.32,https://www.transfermarkt.com/amadou-dia/profil/spieler/354912
1495,48,Graham Zusi,Right-Back,33,United States,1.78,left,2009-01-15,Maryland Terrapins (University of Maryland),-,0.43,https://www.transfermarkt.com/graham-zusi/profil/spieler/108353
1496,48,Jaylin Lindsey,Right-Back,20,United States,1.73,right,2018-01-01,Sporting Kansas City Academy,31.12.2021,0.22,https://www.transfermarkt.com/jaylin-lindsey/profil/spieler/370970
1497,48,Cameron Duke,Right-Back,19,United States,1.7,-,2019-07-18,Sporting Kansas City Academy,31.12.2022,0.05,https://www.transfermarkt.com/cameron-duke/profil/spieler/469850
1498,48,Ilie Sánchez,Defensive Midfield,29,Spain,1.82,right,2017-01-13,Without Club,31.12.2021,1.03,https://www.transfermarkt.com/ilie-sanchez/profil/spieler/65298
1499,48,Wan Kuzain,Defensive Midfield,21,Malaysia,1.78,-,2018-04-13,Swope Park Rangers,31.12.2020,0.38,https://www.transfermarkt.com/wan-kuzain/profil/spieler/464344
1500,48,Gianluca Busio,Central Midfield,17,United States,1.7,right,2017-08-25,Sporting Kansas City Academy,31.12.2020,2.7,https://www.transfermarkt.com/gianluca-busio/profil/spieler/504209
1501,48,Felipe Gutiérrez,Central Midfield,29,Chile,1.7,left,2018-02-06,Real Betis Balompié,31.12.2020,1.51,https://www.transfermarkt.com/felipe-gutierrez/profil/spieler/133089
1502,48,Róger Espinoza,Central Midfield,33,Honduras,1.78,left,2015-01-05,Wigan Athletic,-,0.51,https://www.transfermarkt.com/roger-espinoza/profil/spieler/71096
1503,48,Felipe Hernández,Central Midfield,21,Colombia,1.7,-,2019-08-30,Sporting Kansas City II,31.12.2020,0.32,https://www.transfermarkt.com/felipe-hernandez/profil/spieler/464518
1504,48,Gadi Kinda,Attacking Midfield,25,Israel,1.73,right,2020-01-23,Beitar Jerusalem,31.12.2020,1.03,https://www.transfermarkt.com/gadi-kinda/profil/spieler/200560
1505,48,Gerso,Left Winger,29,Guinea-Bissau,1.72,left,2017-01-04,Belenenses SAD,31.12.2020,1.03,https://www.transfermarkt.com/gerso/profil/spieler/197157
1506,48,Dániel Sallói,Left Winger,23,Hungary,1.85,both,2016-01-13,Újpest FC,31.12.2020,0.86,https://www.transfermarkt.com/daniel-salloi/profil/spieler/321946
1507,48,Tyler Freeman,Left Winger,17,United States,1.78,-,2019-01-01,Sporting Kansas City Academy,31.12.2022,0.16,https://www.transfermarkt.com/tyler-freeman/profil/spieler/623183
1508,48,Johnny Russell,Right Winger,30,Scotland,1.78,left,2018-01-31,Derby County,31.12.2020,1.51,https://www.transfermarkt.com/johnny-russell/profil/spieler/55494
1509,48,Alan Pulido,Centre-Forward,29,Mexico,1.77,right,2020-01-01,Deportivo Guadalajara,31.12.2023,5.94,https://www.transfermarkt.com/alan-pulido/profil/spieler/143045
1510,48,Khiry Shelton,Centre-Forward,26,United States,1.91,-,2020-01-01,SC Paderborn 07,31.12.2022,0.43,https://www.transfermarkt.com/khiry-shelton/profil/spieler/354609
1511,48,Erik Hurtado,Centre-Forward,29,United States,1.75,right,2018-12-14,Vancouver Whitecaps FC,31.12.2020,0.32,https://www.transfermarkt.com/erik-hurtado/profil/spieler/255922
