players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2670,96,Brooks Thompson,Goalkeeper,17,United States,1.92,-,2019-03-07,Sporting Kansas City Academy,30.11.2020,0.03,https://www.transfermarkt.com/brooks-thompson/profil/spieler/658051
2671,96,Remi Prieur,Goalkeeper,23,United States,1.88,right,2020-02-17,Columbus Crew SC,30.11.2020,0.0,https://www.transfermarkt.com/remi-prieur/profil/spieler/611030
2672,96,Camden Riley,Centre-Back,23,United States,1.85,-,2019-02-21,Sporting Kansas City,30.11.2020,0.16,https://www.transfermarkt.com/camden-riley/profil/spieler/627179
2673,96,Kaveh Rad,Centre-Back,18,United States,1.8,-,2020-01-24,Sporting Kansas City Academy,30.11.2020,0.14,https://www.transfermarkt.com/kaveh-rad/profil/spieler/576880
2674,96,Sam Raben,Centre-Back,22,United States,1.83,-,2020-02-26,Colorado Rapids,30.11.2020,0.11,https://www.transfermarkt.com/sam-raben/profil/spieler/637459
2675,96,Daniel Barbir,Centre-Back,22,United States,1.91,left,2020-01-27,Astra Giurgiu,30.11.2020,0.05,https://www.transfermarkt.com/daniel-barbir/profil/spieler/330186
2676,96,Petar Cuic,Centre-Back,20,Croatia,1.85,both,2020-02-12,GNK Dinamo Zagreb II,30.11.2021,0.0,https://www.transfermarkt.com/petar-cuic/profil/spieler/357806
2677,96,Jaret Townsend,Midfielder,22,United States,1.78,-,2020-03-06,Sporting Kansas City,30.11.2020,0.0,https://www.transfermarkt.com/jaret-townsend/profil/spieler/636187
2678,96,Christian Duke,Central Midfield,28,United States,1.75,right,2020-01-06,Orange County SC,30.11.2020,0.27,https://www.transfermarkt.com/christian-duke/profil/spieler/260797
2679,96,Duval Wapiwo,Central Midfield,20,Cameroon,1.75,-,2020-01-07,MFK Vyskov,30.11.2020,0.05,https://www.transfermarkt.com/duval-wapiwo/profil/spieler/645899
2680,96,Will Little,Right Midfield,22,United States,1.74,-,2016-03-10,Sporting Kansas City Academy,30.11.2020,0.11,https://www.transfermarkt.com/will-little/profil/spieler/426376
2681,96,Enoch Mushagalusa,Forward,20,United States,1.8,-,2020-02-26,Unknown,30.11.2020,0.0,https://www.transfermarkt.com/enoch-mushagalusa/profil/spieler/747703
2682,96,Dillon Serna,Left Winger,26,United States,1.7,-,2020-02-28,Colorado Rapids,30.11.2020,0.38,https://www.transfermarkt.com/dillon-serna/profil/spieler/189902
2683,96,Zé Pedro,Left Winger,23,Portugal,1.75,left,2019-07-29,SC Covilhã,30.11.2020,0.14,https://www.transfermarkt.com/ze-pedro/profil/spieler/344541
2684,96,Fredlin Mompremier,Right Winger,23,Haiti,1.83,-,2020-02-26,FC Tulsa,30.11.2020,0.14,https://www.transfermarkt.com/fredlin-mompremier/profil/spieler/587441
2685,96,Wilson Harris,Centre-Forward,20,United States,1.8,-,2018-07-03,Sporting Kansas City Academy,30.11.2020,0.16,https://www.transfermarkt.com/wilson-harris/profil/spieler/576847
2686,96,Dominik Resetar,Centre-Forward,19,Croatia,1.83,right,2020-02-12,GNK Dinamo Zagreb II,30.11.2021,0.05,https://www.transfermarkt.com/dominik-resetar/profil/spieler/540354
