players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2207,75,Evan Louro,Goalkeeper,24,United States,1.9,-,2020-01-21,New York Red Bulls,30.11.2020,0.22,https://www.transfermarkt.com/evan-louro/profil/spieler/375564
2208,75,Macklin Robinson,Goalkeeper,26,United States,1.85,-,2019-02-06,New York Cosmos B,30.11.2020,0.11,https://www.transfermarkt.com/macklin-robinson/profil/spieler/435334
2209,75,Ian McGrane,Goalkeeper,24,United States,1.96,-,2020-01-31,Unknown,30.11.2020,0.0,https://www.transfermarkt.com/ian-mcgrane/profil/spieler/741061
2210,75,Forrest Lasso,Centre-Back,26,United States,1.96,left,2020-01-01,FC Cincinnati,30.11.2021,0.32,https://www.transfermarkt.com/forrest-lasso/profil/spieler/367070
2211,75,Jordan Scarlett,Centre-Back,24,Jamaica,1.83,-,2019-12-19,New York Red Bulls II,30.11.2020,0.22,https://www.transfermarkt.com/jordan-scarlett/profil/spieler/496869
2212,75,Jordan Doherty,Centre-Back,19,Ireland,m,-,2020-01-24,Sheffield United U18,30.11.2020,0.19,https://www.transfermarkt.com/jordan-doherty/profil/spieler/434244
2213,75,Obafemi Awodesu,Centre-Back,19,United States,m,-,2020-02-26,Chargers SC,-,0.0,https://www.transfermarkt.com/obafemi-awodesu/profil/spieler/747548
2214,75,Louis Lomas,Centre-Back,19,England,m,-,2020-01-16,Norwich City U23,30.11.2020,0.0,https://www.transfermarkt.com/louis-lomas/profil/spieler/504197
2215,75,Aarón Guillén,Left-Back,26,Mexico,1.8,-,2019-12-18,North Carolina FC,30.11.2021,0.19,https://www.transfermarkt.com/aaron-guillen/profil/spieler/415334
2216,75,Max Lachowecki,Left-Back,27,United States,1.77,-,2020-02-07,Career break,30.11.2020,0.16,https://www.transfermarkt.com/max-lachowecki/profil/spieler/417614
2217,75,Mustapha Dumbuya,Right-Back,32,Sierra Leone,1.75,right,2019-12-20,Phoenix Rising FC,30.11.2020,0.22,https://www.transfermarkt.com/mustapha-dumbuya/profil/spieler/123145
2218,75,Kevin Mendoza,Midfielder,26,Mexico,1.7,-,2020-01-01,Tiburones Rojos de Veracruz,30.11.2020,0.0,https://www.transfermarkt.com/kevin-mendoza/profil/spieler/259769
2219,75,Dominic Oduro,Defensive Midfield,25,Ghana,1.66,right,2018-06-20,FC Golden State Force,30.11.2020,0.22,https://www.transfermarkt.com/dominic-oduro/profil/spieler/257406
2220,75,Lewis Hilton,Central Midfield,26,England,1.72,-,2019-12-17,Saint Louis FC,30.11.2021,0.27,https://www.transfermarkt.com/lewis-hilton/profil/spieler/414113
2221,75,Hayden Morgan,Central Midfield,16,United States,m,-,2020-02-26,Tampa Bay United Rowdies SC,-,0.0,https://www.transfermarkt.com/hayden-morgan/profil/spieler/747550
2222,75,Julio Plata,Central Midfield,17,United States,m,-,2020-02-26,Tampa Bay United Rowdies SC,-,0.0,https://www.transfermarkt.com/julio-plata/profil/spieler/747552
2223,75,Leo Fernandes,Left Midfield,28,Brazil,1.85,left,2017-01-18,Philadelphia Union,30.11.2020,0.22,https://www.transfermarkt.com/leo-fernandes/profil/spieler/228503
2224,75,Sebastian Dalgaard,Left Midfield,28,Denmark,1.88,left,2020-02-21,Hartford Athletic,30.11.2020,0.19,https://www.transfermarkt.com/sebastian-dalgaard/profil/spieler/119534
2225,75,Zach Steinberger,Attacking Midfield,27,United States,1.8,-,2018-12-05,Indy Eleven,30.11.2020,0.27,https://www.transfermarkt.com/zach-steinberger/profil/spieler/228263
2226,75,Yann Ekra,Attacking Midfield,29,Cote d'Ivoire,1.8,right,2018-12-07,Charlotte Independence,30.11.2020,0.14,https://www.transfermarkt.com/yann-ekra/profil/spieler/60533
2227,75,Landon Ameres,Forward,17,United States,m,-,2020-02-26,Chargers SC,-,0.0,https://www.transfermarkt.com/landon-ameres/profil/spieler/747549
2228,75,Malik Johnson,Right Winger,22,Canada,1.75,-,2018-12-06,Toronto FC II,30.11.2020,0.22,https://www.transfermarkt.com/malik-johnson/profil/spieler/381070
2229,75,Kyle Murphy,Right Winger,27,United States,1.83,-,2019-12-18,Loudoun United FC,30.11.2020,0.16,https://www.transfermarkt.com/kyle-murphy/profil/spieler/429303
2230,75,Sebastián Guenzatti,Centre-Forward,28,Uruguay,1.78,right,2017-07-31,Without Club,30.11.2020,0.27,https://www.transfermarkt.com/sebastian-guenzatti/profil/spieler/261530
2231,75,Juan Tejada,Centre-Forward,23,Panama,1.74,-,2019-02-20,Eckerd Tritons,30.11.2020,0.19,https://www.transfermarkt.com/juan-tejada/profil/spieler/654162
2232,75,Lucky Mkosana,Centre-Forward,32,Zimbabwe,1.75,right,2019-06-27,Louisville City FC,30.11.2020,0.16,https://www.transfermarkt.com/lucky-mkosana/profil/spieler/212993
