players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2807,104,Eric Klenofsky,Goalkeeper,25,United States,1.98,-,2019-03-05,Without Club,30.11.2020,0.11,https://www.transfermarkt.com/eric-klenofsky/profil/spieler/482657
2808,104,Kevin Silva,Goalkeeper,22,United States,1.81,-,2020-01-19,Heart of Midlothian FC Reserves,30.11.2020,0.08,https://www.transfermarkt.com/kevin-silva/profil/spieler/351503
2809,104,Franco Ramos Mingo,Centre-Back,22,Argentina,1.88,right,2019-03-05,Club Atlético Boca Juniors U20,-,0.11,https://www.transfermarkt.com/franco-ramos-mingo/profil/spieler/657270
2810,104,Luke Singh,Centre-Back,18,Trinidad and Tobago,1.84,both,2019-03-05,TFC Academy,-,0.05,https://www.transfermarkt.com/luke-singh/profil/spieler/628769
2811,104,Jelani Peters,Centre-Back,26,Trinidad and Tobago,1.93,-,2017-05-19,W Connection,-,0.05,https://www.transfermarkt.com/jelani-peters/profil/spieler/451057
2812,104,Terique Mohammed,Left-Back,20,Canada,1.75,-,2019-01-01,TFC Academy,-,0.16,https://www.transfermarkt.com/terique-mohammed/profil/spieler/595566
2813,104,Themi Antonoglou,Left-Back,18,Canada,m,-,-,-,-,0.05,https://www.transfermarkt.com/themi-antonoglou/profil/spieler/680394
2814,104,Dante Campbell,Right-Back,20,Canada,1.78,-,2018-03-15,TFC Academy,-,0.16,https://www.transfermarkt.com/dante-campbell/profil/spieler/467580
2815,104,Adolfo Ovalle,Defensive Midfield,23,Chile,1.75,right,2019-03-13,Rangers de Talca,-,0.16,https://www.transfermarkt.com/adolfo-ovalle/profil/spieler/367393
2816,104,Mehdi Essoussi,Defensive Midfield,19,Canada,1.82,-,2019-01-01,TFC Academy,-,0.08,https://www.transfermarkt.com/mehdi-essoussi/profil/spieler/635444
2817,104,Ralph Priso,Defensive Midfield,17,Canada,m,-,2019-03-05,TFC Academy,-,0.08,https://www.transfermarkt.com/ralph-priso/profil/spieler/657271
2818,104,Luca Petrasso,Central Midfield,19,Canada,m,-,2018-03-15,TFC Academy,-,0.14,https://www.transfermarkt.com/luca-petrasso/profil/spieler/494826
2819,104,Gideon Waja,Central Midfield,23,Ghana,1.7,right,2018-02-20,West African Football Academy,-,0.11,https://www.transfermarkt.com/gideon-waja/profil/spieler/376570
2820,104,Jordan Faria,Left Midfield,19,Canada,1.68,-,2018-01-01,TFC Academy,-,0.11,https://www.transfermarkt.com/jordan-faria/profil/spieler/577800
2821,104,Matthew Srbely,Attacking Midfield,21,Canada,1.76,-,2018-03-15,TFC Academy,-,0.19,https://www.transfermarkt.com/matthew-srbely/profil/spieler/494814
2822,104,Luca Uccello,Attacking Midfield,22,Canada,1.7,right,2020-01-19,Memphis 901 FC,30.11.2020,0.14,https://www.transfermarkt.com/luca-uccello/profil/spieler/364636
2823,104,Griffin Dorsey,Right Winger,21,United States,1.82,right,-,-,-,0.22,https://www.transfermarkt.com/griffin-dorsey/profil/spieler/405187
2824,104,Jordan Perruzza,Centre-Forward,19,Canada,1.87,left,2018-12-18,TFC Academy,-,0.27,https://www.transfermarkt.com/jordan-perruzza/profil/spieler/465976
2825,104,Shaan Hundal,Centre-Forward,20,Canada,1.8,-,2016-09-01,TFC Academy,-,0.14,https://www.transfermarkt.com/shaan-hundal/profil/spieler/436294
