players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
1407,45,Alex Bono,Goalkeeper,26,United States,1.91,-,2015-01-15,Syracuse Orange (Syracuse University),-,0.78,https://www.transfermarkt.com/alex-bono/profil/spieler/272881
1408,45,Quentin Westberg,Goalkeeper,34,United States,1.83,right,2019-02-25,AJ Auxerre,-,0.51,https://www.transfermarkt.com/quentin-westberg/profil/spieler/33934
1409,45,Omar González,Centre-Back,31,United States,1.96,right,2019-07-09,Atlas Guadalajara,-,1.51,https://www.transfermarkt.com/omar-gonzalez/profil/spieler/99690
1410,45,Chris Mavinga,Centre-Back,28,DR Congo,1.83,left,2017-01-31,Rubin Kazan,31.12.2022,0.86,https://www.transfermarkt.com/chris-mavinga/profil/spieler/93732
1411,45,Eriq Zavaleta,Centre-Back,27,United States,1.85,right,2015-01-26,Seattle Sounders FC,-,0.51,https://www.transfermarkt.com/eriq-zavaleta/profil/spieler/131193
1412,45,Laurent Ciman,Centre-Back,34,Belgium,1.84,right,2019-01-01,FCO Dijon,-,0.35,https://www.transfermarkt.com/laurent-ciman/profil/spieler/22338
1413,45,Rocco Romeo,Centre-Back,20,Canada,1.88,both,2020-01-21,Toronto FC II,31.12.2020,0.16,https://www.transfermarkt.com/rocco-romeo/profil/spieler/468133
1414,45,Julian Dunn-Johnson,Centre-Back,19,Canada,1.88,-,2018-04-13,Toronto FC II,31.12.2020,0.14,https://www.transfermarkt.com/julian-dunn-johnson/profil/spieler/494823
1415,45,Justin Morrow,Left-Back,32,United States,1.73,right,2013-12-17,San Jose Earthquakes,31.12.2020,0.57,https://www.transfermarkt.com/justin-morrow/profil/spieler/145116
1416,45,Auro Jr.,Right-Back,24,Brazil,1.68,right,2019-01-01,FC São Paulo B,31.12.2020,0.7,https://www.transfermarkt.com/auro-jr-/profil/spieler/294796
1417,45,Richie Laryea,Right-Back,25,Canada,1.75,right,2019-03-21,Without Club,31.12.2020,0.51,https://www.transfermarkt.com/richie-laryea/profil/spieler/417348
1418,45,Liam Fraser,Defensive Midfield,22,Canada,1.85,-,2018-01-19,Toronto FC II,31.12.2020,0.27,https://www.transfermarkt.com/liam-fraser/profil/spieler/377109
1419,45,Noble Okello,Defensive Midfield,19,Canada,1.95,-,2019-01-22,Toronto FC II,-,0.19,https://www.transfermarkt.com/noble-okello/profil/spieler/544025
1420,45,Jonathan Osorio,Central Midfield,27,Canada,1.75,both,2013-02-27,TFC Academy,-,3.78,https://www.transfermarkt.com/jonathan-osorio/profil/spieler/260807
1421,45,Michael Bradley,Central Midfield,32,United States,1.89,right,2014-01-09,AS Roma,-,1.73,https://www.transfermarkt.com/michael-bradley/profil/spieler/30593
1422,45,Marky Delgado,Central Midfield,24,United States,1.75,-,2014-11-19,CD Chivas USA,31.12.2020,0.86,https://www.transfermarkt.com/marky-delgado/profil/spieler/222565
1423,45,Nick DeLeon,Right Midfield,29,United States,1.77,-,2018-12-14,D.C. United,31.12.2021,1.03,https://www.transfermarkt.com/nick-deleon/profil/spieler/212979
1424,45,Alejandro Pozuelo,Attacking Midfield,28,Spain,1.72,both,2019-03-18,KRC Genk,-,7.02,https://www.transfermarkt.com/alejandro-pozuelo/profil/spieler/188853
1425,45,Jahkeele Marshall-Rutty,Forward,15,Canada,m,-,2020-01-22,Toronto FC II,31.12.2020,0.05,https://www.transfermarkt.com/jahkeele-marshall-rutty/profil/spieler/640852
1426,45,Ifunanyachi Achara,Forward,22,Nigeria,1.78,-,2020-01-09,Georgetown Hoyas (Georgetown University),31.12.2020,0.05,https://www.transfermarkt.com/ifunanyachi-achara/profil/spieler/735809
1427,45,Pablo Piatti,Left Winger,31,Argentina,1.63,both,2020-02-07,RCD Espanyol Barcelona,30.06.2020,2.59,https://www.transfermarkt.com/pablo-piatti/profil/spieler/56067
1428,45,Jacob Shaffelburg,Left Winger,20,Canada,1.81,left,2019-06-21,Toronto FC II,-,0.22,https://www.transfermarkt.com/jacob-shaffelburg/profil/spieler/637632
1429,45,Jayden Nelson,Left Winger,17,Canada,m,-,2020-01-23,Toronto FC II,-,0.11,https://www.transfermarkt.com/jayden-nelson/profil/spieler/635445
1430,45,Erickson Gallardo,Right Winger,23,Venezuela,1.67,right,2019-07-09,Zamora FC,-,0.49,https://www.transfermarkt.com/erickson-gallardo/profil/spieler/331122
1431,45,Tsubasa Endoh,Right Winger,26,Japan,1.7,right,2019-01-16,Toronto FC II,31.12.2020,0.49,https://www.transfermarkt.com/tsubasa-endoh/profil/spieler/417350
1432,45,Griffin Dorsey,Right Winger,21,United States,1.82,right,2019-01-11,Indiana Hoosiers (Indiana University),-,0.22,https://www.transfermarkt.com/griffin-dorsey/profil/spieler/405187
1433,45,Jozy Altidore,Centre-Forward,30,United States,1.85,right,2015-01-16,Sunderland AFC,31.12.2022,3.46,https://www.transfermarkt.com/jozy-altidore/profil/spieler/39378
1434,45,Ayo Akinola,Centre-Forward,20,United States,1.77,-,2017-12-18,TFC Academy,-,0.43,https://www.transfermarkt.com/ayo-akinola/profil/spieler/370979
1435,45,Patrick Mullins,Centre-Forward,28,United States,1.86,-,2019-07-11,Columbus Crew SC,31.12.2020,0.38,https://www.transfermarkt.com/patrick-mullins/profil/spieler/251421
