players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2893,108,Sam Howard,Goalkeeper,27,United States,1.88,-,2020-04-09,Without Club,-,0.08,https://www.transfermarkt.com/sam-howard/profil/spieler/579753
2894,108,Rashid Nuhu,Goalkeeper,24,Ghana,1.88,-,2020-02-16,New York Red Bulls II,30.11.2020,0.05,https://www.transfermarkt.com/rashid-nuhu/profil/spieler/674379
2895,108,Damia Viader,Defender,22,Spain,m,-,2020-01-14,Iowa Western Community College,30.11.2020,0.0,https://www.transfermarkt.com/damia-viader/profil/spieler/737151
2896,108,Illal Osumanu,Defender,23,Ghana,1.83,-,2020-03-02,Marshall Thundering Herd (Marshall University),30.11.2020,0.0,https://www.transfermarkt.com/illal-osumanu/profil/spieler/749180
2897,108,Daltyn Knutson,Centre-Back,23,United States,1.88,-,2020-01-14,South Georgia Tormenta FC,30.11.2020,0.16,https://www.transfermarkt.com/daltyn-knutson/profil/spieler/636582
2898,108,Nathan Aune,Centre-Back,23,United States,1.94,-,2020-01-14,Reno 1868 FC,30.11.2020,0.05,https://www.transfermarkt.com/nathan-aune/profil/spieler/662045
2899,108,Luke Hauswirth,Right-Back,24,United States,1.78,-,2020-01-31,FC Tucson,30.11.2020,0.16,https://www.transfermarkt.com/luke-hauswirth/profil/spieler/636186
2900,108,Elma N'For,Midfielder,24,Cameroon,1.72,-,2020-01-14,Lansing Ignite FC,30.11.2020,0.14,https://www.transfermarkt.com/elma-nfor/profil/spieler/663309
2901,108,Kobe Perez,Midfielder,23,United States,1.7,-,2020-01-14,South Georgia Tormenta FC,30.11.2020,0.05,https://www.transfermarkt.com/kobe-perez/profil/spieler/690600
2902,108,Austin Panchot,Midfielder,23,United States,1.7,-,2020-01-14,North Carolina FC,30.11.2020,0.05,https://www.transfermarkt.com/austin-panchot/profil/spieler/638407
2903,108,Jacob Crull,Midfielder,22,United States,m,-,2020-01-14,Spring Arbor Cougars (Spring Arbor Uni.),30.11.2020,0.0,https://www.transfermarkt.com/jacob-crull/profil/spieler/737152
2904,108,John Scearce,Midfielder,22,United States,1.85,-,2020-02-17,Cornell Big Red (Cornell University),30.11.2020,0.0,https://www.transfermarkt.com/john-scearce/profil/spieler/670165
2905,108,Tobias Otieno,Defensive Midfield,21,Kenya,m,-,2020-01-14,Gor Mahia Nairobi,30.11.2020,0.0,https://www.transfermarkt.com/tobias-otieno/profil/spieler/708944
2906,108,Tyler David,Central Midfield,26,United States,1.88,-,2020-02-14,Hartford Athletic,30.11.2020,0.08,https://www.transfermarkt.com/tyler-david/profil/spieler/429594
2907,108,Christian Molina,Right Midfield,22,El Salvador,1.75,left,2020-01-14,Northern Illinois Huskies (Northern Illinois Uni.),30.11.2020,0.0,https://www.transfermarkt.com/christian-molina/profil/spieler/684320
2908,108,Sebastián Contreras,Attacking Midfield,30,Argentina,1.77,left,2020-03-02,Without Club,30.11.2020,0.27,https://www.transfermarkt.com/sebastian-contreras/profil/spieler/356445
2909,108,Xavier Gomez,Attacking Midfield,25,United States,1.78,-,2020-01-14,Lansing Ignite FC,30.11.2020,0.19,https://www.transfermarkt.com/xavier-gomez/profil/spieler/562536
2910,108,Ferrety Sousa,Attacking Midfield,29,DR Congo,1.68,-,2020-01-31,Las Vegas Lights FC,30.11.2020,0.08,https://www.transfermarkt.com/ferrety-sousa/profil/spieler/283734
2911,108,Evan Conway,Forward,22,United States,m,-,2020-01-14,Milwaukee Panthers (UoWM),30.11.2020,0.0,https://www.transfermarkt.com/evan-conway/profil/spieler/737153
2912,108,Juan Mare,Centre-Forward,25,Argentina,1.87,right,2020-01-14,Chattanooga Red Wolves SC,30.11.2020,0.19,https://www.transfermarkt.com/juan-mare/profil/spieler/267619
2913,108,Elvir Ibisevic,Centre-Forward,22,Bosnia-Herzegovina,1.88,right,2020-01-31,BSG Chemie Leipzig,30.11.2020,0.14,https://www.transfermarkt.com/elvir-ibisevic/profil/spieler/354902
2914,108,Ethan Vanacore-Decker,Centre-Forward,25,United States,1.8,-,2020-01-14,Sporting Kansas City II,30.11.2020,0.11,https://www.transfermarkt.com/ethan-vanacore-decker/profil/spieler/421910
