players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
1835,61,Maxime Crépeau,Goalkeeper,25,Canada,1.85,right,2018-12-09,Montreal Impact,31.12.2020,0.43,https://www.transfermarkt.com/maxime-crepeau/profil/spieler/189014
1836,61,Bryan Meredith,Goalkeeper,30,United States,1.88,-,2020-01-29,Inter Miami CF,31.12.2020,0.19,https://www.transfermarkt.com/bryan-meredith/profil/spieler/192399
1837,61,Thomas Hasal,Goalkeeper,20,Canada,1.88,-,2019-03-07, Whitecaps FC Academy,31.12.2020,0.05,https://www.transfermarkt.com/thomas-hasal/profil/spieler/487505
1838,61,Ranko Veselinovic,Centre-Back,21,Serbia,1.9,right,2020-02-09,FK Vojvodina Novi Sad,31.12.2020,1.62,https://www.transfermarkt.com/ranko-veselinovic/profil/spieler/336381
1839,61,Érik Godoy,Centre-Back,26,Argentina,1.85,right,2020-01-22,Club Atlético Colón,31.12.2022,1.03,https://www.transfermarkt.com/erik-godoy/profil/spieler/225479
1840,61,Derek Cornelius,Centre-Back,22,Canada,1.87,both,2019-01-18,FK Javor-Matis Ivanjica,31.12.2020,0.49,https://www.transfermarkt.com/derek-cornelius/profil/spieler/328609
1841,61,Jasser Khmiri,Centre-Back,22,Tunisia,1.92,right,2019-02-01,Stade Tunisien,31.12.2021,0.43,https://www.transfermarkt.com/jasser-khmiri/profil/spieler/422666
1842,61,Gianfranco Facchineri,Centre-Back,18,Canada,1.85,right,2020-01-23, Whitecaps FC Academy,-,0.05,https://www.transfermarkt.com/gianfranco-facchineri/profil/spieler/718090
1843,61,Ali Adnan,Left-Back,26,Iraq,1.85,left,2019-07-09,Udinese Calcio,31.12.2021,1.51,https://www.transfermarkt.com/ali-adnan/profil/spieler/261611
1844,61,Cristián Gutiérrez,Left-Back,23,Chile,1.76,left,2020-01-16,CSD Colo Colo,31.12.2021,0.51,https://www.transfermarkt.com/cristian-gutierrez/profil/spieler/385104
1845,61,Jake Nerwinski,Right-Back,25,United States,1.84,-,2017-01-13,Connecticut Huskies (University of Connecticut),31.12.2020,0.59,https://www.transfermarkt.com/jake-nerwinski/profil/spieler/482612
1846,61,Ryan Raposo,Midfielder,21,Canada,1.7,-,2020-01-09,Syracuse Orange (Syracuse University),-,0.05,https://www.transfermarkt.com/ryan-raposo/profil/spieler/638798
1847,61,Russell Teibert,Defensive Midfield,27,Canada,1.7,left,2009-07-01,Vancouver Whitecaps Residency,31.12.2020,0.65,https://www.transfermarkt.com/russell-teibert/profil/spieler/103627
1848,61,Michael Baldisimo,Defensive Midfield,20,Canada,1.68,-,2018-07-17, Whitecaps FC Academy,31.12.2020,0.08,https://www.transfermarkt.com/michael-baldisimo/profil/spieler/493611
1849,61,Damiano Pecile,Defensive Midfield,18,Canada,1.79,right,2020-02-14, Whitecaps FC Academy,-,0.05,https://www.transfermarkt.com/damiano-pecile/profil/spieler/718088
1850,61,In-beom Hwang,Central Midfield,23,"Korea, South",1.77,both,2019-01-31,Daejeon Citizen,31.12.2020,1.03,https://www.transfermarkt.com/in-beom-hwang/profil/spieler/365394
1851,61,Janio Bikel,Central Midfield,24,Portugal,1.74,right,2020-02-28,CSKA Sofia,-,0.86,https://www.transfermarkt.com/janio-bikel/profil/spieler/288121
1852,61,Andy Rose,Central Midfield,30,Australia,1.87,right,2019-01-01,Motherwell FC,31.12.2020,0.49,https://www.transfermarkt.com/andy-rose/profil/spieler/213544
1853,61,Leonard Owusu,Central Midfield,22,Ghana,1.81,right,2020-01-21,FC Ashdod,31.12.2022,0.43,https://www.transfermarkt.com/leonard-owusu/profil/spieler/579628
1854,61,Georges Mukumbilwa,Central Midfield,20,Canada,1.8,right,2019-08-23, Whitecaps FC Academy,31.12.2020,0.11,https://www.transfermarkt.com/georges-mukumbilwa/profil/spieler/699184
1855,61,Patrick Metcalfe,Central Midfield,21,Canada,1.83,-,2020-01-23,Vancouver Whitecaps U23,-,0.05,https://www.transfermarkt.com/patrick-metcalfe/profil/spieler/501710
1856,61,Simon Colyn,Attacking Midfield,18,Canada,1.75,-,2018-04-19,Vancouver Whitecaps Residency,31.12.2020,0.35,https://www.transfermarkt.com/simon-colyn/profil/spieler/579756
1857,61,Cristian Dájome,Left Winger,26,Colombia,1.72,right,2020-01-17,Atlético Nacional,31.12.2021,0.86,https://www.transfermarkt.com/cristian-dajome/profil/spieler/385454
1858,61,David Milinkovic,Left Winger,25,France,1.8,right,2020-01-27,Hull City,31.12.2020,0.27,https://www.transfermarkt.com/david-milinkovic/profil/spieler/354725
1859,61,Lucas Cavallini,Centre-Forward,27,Canada,1.82,left,2020-01-01,Puebla FC,31.12.2022,3.78,https://www.transfermarkt.com/lucas-cavallini/profil/spieler/221038
1860,61,Fredy Montero,Centre-Forward,32,Colombia,1.76,right,2019-02-15,Sporting CP,31.12.2020,1.3,https://www.transfermarkt.com/fredy-montero/profil/spieler/73852
1861,61,Yordy Reyna,Centre-Forward,26,Peru,1.69,right,2017-01-23,Red Bull Salzburg,30.06.2021,0.81,https://www.transfermarkt.com/yordy-reyna/profil/spieler/200779
1862,61,Theo Bair,Centre-Forward,20,Canada,1.91,-,2019-01-01, Whitecaps FC Academy,31.12.2020,0.43,https://www.transfermarkt.com/theo-bair/profil/spieler/501709
1863,61,Tosaint Ricketts,Centre-Forward,32,Canada,1.83,right,2019-08-09,Suduva Marijampole,31.12.2020,0.43,https://www.transfermarkt.com/tosaint-ricketts/profil/spieler/94579
