team_ID,league_ID,club,squad,foreigners,avg_market_value_m,total_MV_m,Logo_img,link_page
102,5,Richmond Kickers ,24,8,0.11,2.68,https://tmssl.akamaized.net/images/wappen/header/16931.png,https://www.transfermarkt.com/richmond-kickers/kader/verein/16931/saison_id/2019/plus/1
103,5,Greenville Triumph SC ,20,9,0.13,2.65,https://tmssl.akamaized.net/images/wappen/header/69055.png,https://www.transfermarkt.com/greenville-triumph-sc/kader/verein/69055/saison_id/2019/plus/1
104,5,Toronto FC II ,19,8,0.13,2.41,https://tmssl.akamaized.net/images/wappen/header/46823.png,https://www.transfermarkt.com/toronto-fc-ii/kader/verein/46823/saison_id/2019/plus/1
105,5,South Georgia Tormenta FC ,22,10,0.1,2.27,https://tmssl.akamaized.net/images/wappen/header/58894.png,https://www.transfermarkt.com/south-georgia-tormenta-fc/kader/verein/58894/saison_id/2019/plus/1
106,5,Chattanooga Red Wolves SC ,25,12,0.08,1.98,https://tmssl.akamaized.net/images/wappen/header/69398.png,https://www.transfermarkt.com/chattanooga-pro-soccer/kader/verein/69398/saison_id/2019/plus/1
107,5,Forward Madison FC ,20,8,0.1,1.94,https://tmssl.akamaized.net/images/wappen/header/69748.png,https://www.transfermarkt.com/madison-pro-soccer/kader/verein/69748/saison_id/2019/plus/1
108,5,Union Omaha ,22,10,0.08,1.81,https://tmssl.akamaized.net/images/wappen/header/77059.png,https://www.transfermarkt.com/union-omaha/kader/verein/77059/saison_id/2019/plus/1
109,5,North Texas Soccer Club ,15,7,0.11,1.6,https://tmssl.akamaized.net/images/wappen/header/71021.png,https://www.transfermarkt.com/north-texas-soccer-club/kader/verein/71021/saison_id/2019/plus/1
110,5,FC Tucson ,24,12,0.06,1.46,https://tmssl.akamaized.net/images/wappen/header/36336.png,https://www.transfermarkt.com/fc-tucson/kader/verein/36336/saison_id/2019/plus/1
111,5,Orlando City B ,24,10,0.03,0.65,https://tmssl.akamaized.net/images/wappen/header/51773.png,https://www.transfermarkt.com/orlando-city-b/kader/verein/51773/saison_id/2019/plus/1
112,5,New England Revolution II ,15,6,0.04,0.59,https://tmssl.akamaized.net/images/wappen/header/77984.png,https://www.transfermarkt.com/revolution-ii/kader/verein/77984/saison_id/2019/plus/1
113,5,Fort Lauderdale CF ,10,5,0.05,0.49,https://tmssl.akamaized.net/images/wappen/header/78259.png,https://www.transfermarkt.com/inter-miami-usl/kader/verein/78259/saison_id/2019/plus/1
